"Unit1","Faction1","Class1","CompClass1","Tier1","Cost1","Unit2","Faction2","Class2","CompClass2","Tier2","Cost2","Any Wins","Outright Wins","Win Through Flee","Ties","Lose Through Flee","Outright Losses","Any Losses","Total Destructions","AvgRounds","AvgUnit1Models","AvgUnit1Hp","AvgUnit2Models","AvgUnit2Hp"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","429","164","265","0","266","162","428","143","1.96","1.85","1.85","1.86","1.86"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Archers","Gobbo","Goblins","Archers","1","2","773","332","441","0","98","48","146","81","1.87","2.91","2.91","1.35","1.35"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Goblings","Gobbo","Goblins","Chaff","1","1","790","244","546","0","93","39","132","78","1.70","3.23","3.23","1.72","1.72"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Poppers","Gobbo","Goblins","Infantry","1","2","667","235","432","0","100","108","208","125","1.85","2.29","2.29","1.47","1.47"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Wolfcarts","Gobbo","Chariots","Chariot","2","0","137","15","122","0","308","522","830","33","1.82","1.03","1.03","1.34","3.89"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Bangwagons","Gobbo","Chariots","Unique","2","0","43","43","0","0","0","0","0","957","1.00","0.06","0.06","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Hunting Party","Gobbo","Chariots","Chariot","2","0","586","145","441","0","146","194","340","74","2.50","2.31","2.31","0.97","2.59"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Starchucker","Gobbo","Hurtbox","War Machine","2","0","996","917","79","0","4","0","4","0","1.18","4.63","4.63","0.08","0.12"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Boombox","Gobbo","Hurtbox","War Machine","2","0","998","928","70","0","1","0","1","1","1.18","4.62","4.62","0.07","0.09"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Firetruck","Gobbo","Hurtbox","Monster","2","0","588","442","146","0","197","75","272","140","2.56","2.17","2.17","0.42","1.19"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Flagellants","Gobbo","Priests","Attack Infantry","2","0","33","33","0","0","191","619","810","157","1.14","0.30","0.30","2.01","2.01"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Tincans","Gobbo","Priests","Heavy Infantry","2","0","139","67","72","0","454","340","794","67","2.16","1.36","1.36","2.90","2.90"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Gobbo Skypriests","Gobbo","Priests","Fast Infantry","2","0","456","164","292","0","280","144","424","120","1.94","2.01","2.01","1.97","1.97"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Warriors","Ratkin","Rats","Warriors","1","2","373","46","327","0","215","377","592","35","2.13","1.54","1.54","3.54","3.54"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Skitterers","Ratkin","Rats","Fast Infantry","1","3","359","37","322","0","253","344","597","44","2.14","1.58","1.58","3.61","3.61"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Pelters","Ratkin","Rats","Archers","1","2","494","58","436","0","176","287","463","43","2.02","1.86","1.86","3.23","3.23"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Horde","Ratkin","Rats","Chaff","1","1","816","99","717","0","70","93","163","21","1.96","3.35","3.35","3.38","3.38"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Assasslings","Ratkin","Rats","Infantry","1","3","321","31","290","0","197","439","636","43","1.90","1.34","1.34","3.44","3.44"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Peltlings","Ratkin","Rats","Chaff","1","1","916","82","834","0","45","35","80","4","1.79","3.69","3.69","3.66","3.66"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Ninjas","Ratkin","Elites","Fast Infantry","2","0","92","5","87","0","390","509","899","9","1.74","1.03","1.03","5.13","5.13"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Heavies","Ratkin","Elites","Heavy Infantry","2","0","121","14","107","0","379","480","859","20","2.24","1.20","1.20","4.97","4.97"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Throatnicks","Ratkin","Elites","Attack Infantry","2","0","44","1","43","0","275","678","953","3","1.32","0.56","0.56","5.18","5.18"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Fearaltar","Ratkin","Rataltar","Support Mage","2","0","777","748","29","0","137","6","143","80","1.27","2.85","2.85","0.17","0.27"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Swarmaltar","Ratkin","Rataltar","Support Mage","2","0","922","870","52","0","56","1","57","21","1.34","3.59","3.59","0.11","0.17"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Feastaltar","Ratkin","Rataltar","Support Mage","2","0","890","840","50","0","77","0","77","33","1.30","3.43","3.43","0.13","0.21"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Chumpwagon","Ratkin","Ratwagons","Unique","2","0","815","733","82","0","89","7","96","89","1.45","2.81","2.81","0.18","0.32"
