Id,Name,Unit,Include,Faction,Class,Comparison Class,Base Block,Tier,Cost,Equips,Number,Movement,Melee Hit,Ranged Hit,Attacks,HP,Block,Powers,Spells,Banners,Spears,Axes,Clubs,Offhand,Shields,Ranged,Move Colour,HP Colour,Attacks Colour,Melee Colour,Ranged Colour,Block Colour,L1 Colour,L2 Colour,L1 Text Colour,L2 Text Colour,Faction Icon,Min Speed,Total Wounds,Predicted Hits to Kill,EAPM,EAPR,Poison Mult,Ret Bonus,Predicted Hits per Round,Base Score,Exclude From Averages
01_1_1,Warriors,Gobbo Warriors,TRUE,Gobbo,Goblins,Warriors,6,1,2,,6,1,4,6,1,1,5,,,,1,1,1,1,1,1,#000000,#000000,#000000,#000000,#000000,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,9.00,1,6,1.00,0.00,3.00,13.5,FALSE
01_1_2,Bomb Squad,Gobbo Bomb Squad,TRUE,Gobbo,Goblins,Unique,6,1,3,,6,1,2,-,2,1,-,"<b>AP 4</b> - Reduce block rolls by 4.

<b>Explosive</b> - Dies after combat.

<b>Unprotected</b> - Reveal this unit when an attack hits it, rather than using the default block. ",,,,,,,,,#000000,#000000,#3467FF,#3467FF,#000000,#cc0000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,6.00,2,12,1.00,0.00,10.00,21,FALSE
01_1_3,Beserkers,Gobbo Beserkers,TRUE,Gobbo,Goblins,Fast Infantry,6,1,3,,6,d3,4,-,1,1,5,"<b>Random mover d3</b> - Roll a die for movement each turn. Movement is d3 spaces.

<b>Eager to Fight</b> - You must move the full distance, or collide with something. If the unit moves off the board, it is lost.

<b>Manoeuvrable</b> - May turn once at any point during a move or hustle.",,,,1,1,1,,,#2b9800,#000000,#000000,#000000,#000000,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,9.00,1,6,1.00,0.00,3.00,13.5,FALSE
01_1_4,Archers,Gobbo Archers,TRUE,Gobbo,Goblins,Archers,6,1,2,,6,1,5,4,1,1,6,,,,,,,,,1,#000000,#000000,#000000,#cc0000,#2b9800,#cc0000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,7.20,1,6,1.00,0.00,2.00,10.2,FALSE
01_1_5,Goblings,Gobbo Goblings,TRUE,Gobbo,Goblins,Chaff,6,1,1,,6,1,5,-,1,1,6,<b>Chaff</b> - Subtract 1 from leadership rolls. 6s still auto-succeed. ,,,,,,,,,#000000,#000000,#000000,#cc0000,#000000,#cc0000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,7.20,1,6,1.00,0.00,2.00,10.2,FALSE
01_1_6,Poppers,Gobbo Poppers,TRUE,Gobbo,Goblins,Infantry,6,1,2,,6,1,5,-,1,1,6,"<b>Burst</b> - For each friendly model that dies in combat, make an attack hitting on 4+ with AP1 against the unit that dealt the wound. ",,,,,,,,,#000000,#000000,#000000,#cc0000,#000000,#cc0000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,7.20,1,6,1.00,0.00,2.00,10.2,FALSE
01_2A_1,Wolfcarts,Gobbo Wolfcarts,TRUE,Gobbo,Chariots,Chariot,5,2,,,2,2,4,5,4,4,5,"<b>Impact Hits d3</b> - If you get a charge bonus, do d3 attacks per model hitting on 4+. These count towards who won combat.

<b>Chariot</b> - Can't sidestep",,,2,2,2,2,2,2,#2b9800,#000000,#2b9800,#000000,#000000,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,2,8,12.00,4,8,1.00,0.00,4.00,18,FALSE
01_2A_2,Bangwagons,Gobbo Bangwagons,TRUE,Gobbo,Chariots,Unique,5,2,,,2,2,2,-,2d6,2,-,"<b>Explosive</b> - Dies after combat.

<b>Giant Powder Keg</b> - 2d6 attacks per model

<b>AP 4</b> - Reduce block rolls by 4.

<b>Fast</b> - Rolls two hustle die, so it can travel up to two extra squares.

<b>Unprotected</b> - Reveal this unit when an attack hits it, rather than using the default block.

<b>Chariot</b> - Can't sidestep ",,,,,,,,,#2b9800,#cc0000,#3467FF,#3467FF,#000000,#cc0000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,2,4,4.00,7,14,1.00,0.00,11.67,21.5,FALSE
01_2A_3,Hunting Party,Gobbo Hunting Party,TRUE,Gobbo,Chariots,Chariot,5,2,,,2,2,5,4,2,4,5,"<b>Fire on the Move</b> - Can use ranged attacks after moving

<b>Multishot 3</b> - Ranged attacks roll 3 dice per model

<b>Manoeuvrable</b> - May turn once at any point during a move or hustle

<b>Chariot</b> - Can't sidestep",,,2,2,2,2,2,2,#2b9800,#000000,#000000,#cc0000,#2b9800,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,2,8,12.00,2,4,1.00,0.00,1.33,14,FALSE
01_2B_1,Starchucker,Gobbo Starchucker,TRUE,Gobbo,Hurtbox,War Machine,6,2,,,1,1,6,3,2,3,6,"<b>War Machine</b> - Dies if it flees. Can't move into combat.
<b>Razorstar</b> - Ranged weapon. Range d6+1. The first unit in that range gets one attack that hits on 3+, AP -3. If it hits, the next unit takes a 4+, AP -2. If that hits, the third unit takes a 5+, AP -1. Each hit does d6 wounds to a single model. This shot can't pass through terrain.
<b>Friendly Fire</b> - Can shoot into combat and into friendly units.",,,,,,,,,#000000,#000000,#000000,#000000,#3467FF,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,3,3.60,2,2,1.00,0.00,0.33,4.1,TRUE
01_2B_2,Boombox,Gobbo Boombox,TRUE,Gobbo,Hurtbox,War Machine,6,2,,,1,1,6,-,2,3,6,"<small><b>War Machine</b> - Dies if it flees. Can't move into combat.
<b>The Big Guns</b> - Pick a target square within 6 and roll a die.
6 - Direct hit. 
5 - Off by one, your choice. 
4 - Off by one, towards the opponents board edge. 
3 - Off by one, towards your board edge. 
2 - Off by two, opponent's choice where. 
1 - Hit yourself. 
The central tile takes d6 attacks, 3+ AP -1. The four adjacent tiles take 1 hit each, 4+ AP0.
<b>Friendly Fire</b> - Can shoot into combat and into friendly units.</small>",,,,,,,,,#000000,#000000,#000000,#000000,#000000,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,3,3.60,2,2,1.00,0.00,0.33,4.1,TRUE
01_2B_3,Firetruck,Gobbo Firetruck,TRUE,Gobbo,Hurtbox,Monster,6,2,,,1,1,4,-,2,6,4,"<small><b>Flamethrower</b> - Special action. Can be used instead of attacking in combat or as a ranged attack. Roll a die for range. 
6 - Range 3
5/4 - Range 2
3 - Range 1
2 - Take 1 wound
1 - Opponent turns you 90 degrees. Range 2. 
Hits all tiles in range across all three ranged attack columns. Each unit that is hit rolls a die for each model in the unit. Models are hit on a 5, AP1. 

<b>Friendly Fire</b> - Can shoot into combat and into friendly units.

<b>Chariot</b> - Can't sidestep</small>",,,,,,,,,#000000,#2b9800,#000000,#000000,#000000,#2b9800,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,12.00,2,2,1.00,0.00,1.00,13.5,FALSE
01_2C_1,Flagellants,Gobbo Flagellants,TRUE,Gobbo,Priests,Attack Infantry,6,2,,,6,1,4,-,3,1,-,"<b>Unbreakable</b> - Can't flee

<b>Rabid</b> - Must charge if able to

<b>Unprotected</b> - Reveal this unit when an attack hits it, rather than using the default block. ",,,,,2,,,,#000000,#000000,#3467FF,#000000,#000000,#cc0000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,6.00,3,18,1.00,0.00,9.00,19.5,FALSE
01_2C_2,Tincans,Gobbo Tincans,TRUE,Gobbo,Priests,Heavy Infantry,6,2,,,6,1,4,6,1,1,3,"<b>Stalwart</b> - Add 1 to leadership rolls

<b>Slow</b> - Can't hustle",,,2,2,2,2,2,1,#000000,#000000,#000000,#000000,#000000,#3467FF,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,18.00,1,6,1.00,0.00,3.00,22.5,FALSE
01_2C_3,Skypriests,Gobbo Skypriests,TRUE,Gobbo,Priests,Fast Infantry,6,2,,,6,1,4,-,1,1,5,"<b>""Jetpacks""</b> - Action: Roll 2d6. Move a number of tiles at least equal to the lower die, and up to the higher die. You can fly over other units. After landing, this unit may face any direction. If you choose to land on a unit, each model makes 2 attacks hitting at 4+ with AP 2, then this unit dies [explosive]. If this unit moves off the board, it dies. ",,,2,2,2,2,2,1,#000000,#000000,#000000,#000000,#000000,#000000,#00dd28,#00941A,#000000,#ffffff,gobbos.png,1,6,9.00,1,6,1.00,0.00,3.00,13.5,FALSE
02_1_1,Warriors,Ratkin Warriors,TRUE,Ratkin,Rats,Warriors,-,1,2,,9,1,5,6,1,1,6,,,,1,1,1,1,1,1,#000000,#000000,#000000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,10.80,1,9,1.00,0.00,3.00,15.3,FALSE
02_1_2,Skitterers,Ratkin Skitterers,TRUE,Ratkin,Rats,Fast Infantry,-,1,3,,9,2,5,5,1,1,6,<b>Manoeuvrable</b> - May turn once at any point during a move or hustle,,,1,1,1,1,,1,#2b9800,#000000,#000000,#000000,#2b9800,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,10.80,1,9,1.00,0.00,3.00,15.3,FALSE
02_1_3,Pelters,Ratkin Pelters,TRUE,Ratkin,Rats,Archers,-,1,2,,9,1,5,5,1,1,-,,,,,,,,,1,#000000,#000000,#000000,#000000,#2b9800,#cc0000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,9.00,1,9,1.00,0.00,3.00,13.5,FALSE
02_1_4,Horde,Ratkin Horde,TRUE,Ratkin,Rats,Chaff,-,1,1,,9,1,6,-,1,1,-,<b>Chaff</b> - Subtract 1 from leadership rolls. 6s still auto-succeed. ,,,1,,,,1,,#000000,#000000,#000000,#cc0000,#000000,#cc0000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,9.00,1,9,1.00,0.00,1.50,11.25,FALSE
02_1_5,Assasslings,Ratkin Assasslings,TRUE,Ratkin,Rats,Infantry,-,1,3,,9,1,5,6,1,1,-,<b>Poison</b> - 6s to hit can't be saved,,,1,,,,,1,#000000,#000000,#000000,#000000,#000000,#cc0000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,9.00,1,9,1.17,0.00,3.50,14.25,FALSE
