* Nerfed basic Rats: -leadership
* Nerfed Harvesters: -Hit
* Nerfed Spitter: -Hit
* Nerfed Broodmother: -1 attack, -2 equips
* Nerfed Gravedigger: -1HP, -1 Equip, -1Hit
* Nerfed Raidleader: -1 attack
* Nerfed The Twins: -1 Multishot
* Nerfed Tarantulas: -1 Virulent

* Changed Dragoons: +Hit, d3->1 impact hits

* Buffed Hookshot: +AC, +Hit
* Buffed Fodder: +AC
* Buffed Bluemasks: +Hit
* Buffed Shimmerwebs: +Hit, +AC (effectively undid nerfs)
* Buffed Webdancers: +Attacks
* Buffed Gravebeast: +2 HP
* Buffed Squires: Shieldwall
* Buffed Revenants: +Hit
* Buffed Warcrane: +2 HP
* Buffed Trapdoors: +AC
* Buffed Poisoner: +1HP, +1 Equip, +1 Virulent
* Buffed Jumpers: +1 AC
* Buffed Clay Golems: +AP

Row Labels	Average of TCR1	Average of Ratio		
Silk Court Broodmother	7	94.61600719	-1	8
Boneborn Archrevenant	8	94.49460432	0	8
Ratkin Throatnicks	7	91.44856115	-0.25	7.25
Ratkin The Twins	6	90.48021583	-1.25	7.25
Boneborn Wall of Flesh	7.25	89.96600719	0	7.25
Silk Court Tarantulas	6	89.47859712	-1.25	7.25
Redspines Executioner	8	89.18219424	1	7
Boneborn The Gravedigger	5	88.58345324	-2	7
Scaled Empire Commando	7	85.96834532	0	7
Coppersand Gatebreaker	7	85.37302158	0	7
Gobbo Funguspeddler	7	84.11133094	0	7
Boneborn Ghouls	6.75	82.21330935	-0.25	7
Boneborn Rotting Dead	6	81.7852518	-1	7
Gobbo The Green Wolf	6.5	80.87859712	-0.5	7
Ratkin Ninjas	6	80.86780576	-1	7
Boneborn Blood Mages	6	80.15035971	-1	7
Redspines Battleboar	7	79.56654676	0	7
Redspines Raidleader	5	79.55305755	-2	7
Gobbo Flagellants	7.25	79.4278777	0.5	6.75
Redspines Harvesters	3	78.65305755	-3.5	6.5
Redspines Blood-dancers	6	76.80809353	0	6
Coppersand The Warforger	5	76.59586331	-1	6
Coppersand Clay Golems	7.25	75.83201439	1.25	6
Scaled Empire Twohanders	7	75.55827338	1	6
Boneborn Dracolich	6	75.05017986	0	6
Coppersand Minetomatons	5	74.98884892	-1	6
Ratkin Heavies	7	74.96223022	1	6
Redspines Meatwads	7	74.8794964	1	6
Gobbo Wolfcarts	4	74.51061151	-2	6
